node_id,node_type,label,layer,base_queriability,upward_queriability,normalized_upward_queriability,raw_cartesian_queriability,cartesian_queriability,normalized_cartesian_queriability,queriability,normalized_queriability,field_id,canonical_path,record_family,form_group,nested_subgroup,kind,dv_type,operators,coverage,effective_diversity,local_utility,specificity,aqf_visual_weight,operator_count,weighted_operator_burden,depth
field:cf_1285e1e2c004f2,field,claim reason,4,0.39375,0.39375,0.02225236276598121,0.796335722819781,0.5015636028029541,0.5015636028029541,0.5015636028029541,0.5015636028029541,cf_1285e1e2c004f2,Patient discharge / Components / claim reason,openEHR-EHR-COMPOSITION.hospitalisation.v1,Patient discharge,Components,coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,1.0,0.3,0.3,0.375,0.39375,6.0,5.5,3.0
field:cf_80f721f9446bd3,field,death indicator,4,0.39375,0.39375,0.02225236276598121,0.5510734306665449,0.347087751275787,0.347087751275787,0.347087751275787,0.347087751275787,cf_80f721f9446bd3,Patient discharge / Components / death indicator,openEHR-EHR-COMPOSITION.hospitalisation.v1,Patient discharge,Components,boolean,DV_BOOLEAN,equals;is_known;is_unknown,1.0,0.3,0.3,0.375,0.39375,3.0,2.0,3.0
group:openEHR-EHR-COMPOSITION.hospitalisation.v1::Authorization_for_hospital_admission,canonical_group,Authorization for hospital admission,2,0.0,1.3208333333333333,0.0746454920297994,0.2213927909549023,0.13944189954551636,0.13944189954551636,0.13944189954551636,0.13944189954551636,,,,,,,,,,,,,,,,
subgroup:openEHR-EHR-COMPOSITION.hospitalisation.v1::Authorization_for_hospital_admission::Components,canonical_subgroup,Components,3,0.0,1.3208333333333333,0.0746454920297994,0.38090154379223523,0.2399067945126913,0.2399067945126913,0.2399067945126913,0.2399067945126913,,,,,,,,,,,,,,,,
field:cf_ba8421601b1980,field,Issue date,4,0.9270833333333334,0.9270833333333334,0.05239312926381819,1.0835042462877582,0.6824336493358277,0.6824336493358277,0.6824336493358277,0.6824336493358277,cf_ba8421601b1980,Authorization for hospital admission / Components / Issue date,openEHR-EHR-COMPOSITION.hospitalisation.v1,Authorization for hospital admission,Components,temporal,DV_DATE,after;before;between;equals;is_known;is_unknown,1.0,0.8333333333333334,0.8333333333333334,0.375,0.9270833333333334,6.0,6.0,3.0
field:cf_ba09c313b94cba,field,ICU - Total,4,0.39375,0.39375,0.02225236276598121,0.7444984617780872,0.46891445413052524,0.46891445413052524,0.46891445413052524,0.46891445413052524,cf_ba09c313b94cba,Authorization for hospital admission / Components / ICU - Total,openEHR-EHR-COMPOSITION.hospitalisation.v1,Authorization for hospital admission,Components,numeric,DV_COUNT,<;>;between;equals;is_known;is_unknown,1.0,0.3,0.3,0.375,0.39375,6.0,6.0,3.0
group:openEHR-EHR-COMPOSITION.hospitalisation.v1::Patient_admission,canonical_group,Patient admission,2,0.0,3.308333333333333,0.18696694218189502,0.16363329073494473,0.10306269138461843,0.10306269138461843,0.10306269138461843,0.10306269138461843,,,,,,,,,,,,,,,,
subgroup:openEHR-EHR-COMPOSITION.hospitalisation.v1::Patient_admission::Tree,canonical_subgroup,Tree,3,0.0,2.08125,0.11761963176304353,0.29807813381290976,0.18774134881528937,0.18774134881528937,0.18774134881528937,0.18774134881528937,,,,,,,,,,,,,,,,
field:cf_3db72fcc22b158,field,Patient class,4,0.13541666666666666,0.13541666666666666,0.007652928993591421,0.1981169722714668,0.1247818721945969,0.1247818721945969,0.1247818721945969,0.1247818721945969,cf_3db72fcc22b158,Patient admission / Tree / Patient class,openEHR-EHR-COMPOSITION.hospitalisation.v1,Patient admission,Tree,null,NULL_FLAVOUR,equals;is_known;is_unknown,1.0,0.041666666666666664,0.041666666666666664,0.375,0.13541666666666666,3.0,2.0,3.0
subgroup:openEHR-EHR-COMPOSITION.hospitalisation.v1::Patient_admission::Tree_/_Assigned_patient_location_/_Facility,canonical_subgroup,Tree / Assigned patient location / Facility,3,0.0,0.7395833333333334,0.04179676604192238,0.3762680793582533,0.23698845611800237,0.23698845611800237,0.23698845611800237,0.23698845611800237,,,,,,,,,,,,,,,,
