node_id,node_type,label,layer,base_queriability,upward_queriability,normalized_upward_queriability,raw_cartesian_queriability,cartesian_queriability,normalized_cartesian_queriability,queriability,normalized_queriability,field_id,canonical_path,record_family,form_group,nested_subgroup,kind,dv_type,operators,coverage,effective_diversity,local_utility,specificity,aqf_visual_weight,operator_count,weighted_operator_burden,depth
field:cf_8e35971b63e360,field,topography,4,0.26298076923076924,0.26298076923076924,0.011909382978113076,0.7602543622440928,0.3775921082011154,0.3775921082011154,0.3775921082011154,0.3775921082011154,cf_8e35971b63e360,Problem/Diagnosis / structure / Tumour - TNM Cancer staging / topography,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Problem/Diagnosis,structure / Tumour - TNM Cancer staging,coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,0.3557692307692308,0.3,0.10673076923076923,0.625,0.26298076923076924,6.0,5.5,5.0
field:cf_e5c01940113606,field,irradiated area 1,4,0.1610576923076923,0.1610576923076923,0.007293680617308739,0.828850967784213,0.4116616751614141,0.4116616751614141,0.4116616751614141,0.4116616751614141,cf_e5c01940113606,Procedure undertaken / Procedure list / irradiated area 1,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Procedure undertaken,Procedure list,coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,0.22115384615384615,0.30434782608695654,0.0673076923076923,0.375,0.1610576923076923,6.0,5.5,3.0
field:cf_fc5be63ab59287,field,irradiated area 2,4,0.31490384615384615,0.31490384615384615,0.014260778520409625,0.9404025051623518,0.4670654745521281,0.4670654745521281,0.4670654745521281,0.4670654745521281,cf_fc5be63ab59287,Procedure undertaken / Procedure list / irradiated area 2,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Procedure undertaken,Procedure list,coded,DV_CODED_TEXT,contains;equals;in;is_known;is_unknown;not_equals,0.22115384615384615,1.0,0.22115384615384615,0.375,0.31490384615384615,6.0,5.5,3.0
field:cf_821e1930333a5c,field,irradiated area 3,4,0.10336538461538461,0.10336538461538461,0.0046810189036459076,0.787019141267411,0.39088525038989635,0.39088525038989635,0.39088525038989635,0.39088525038989635,cf_821e1930333a5c,Procedure undertaken / Procedure list / irradiated area 3,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Procedure undertaken,Procedure list,null,NULL_FLAVOUR,equals;is_known;is_unknown,0.22115384615384615,0.043478260869565216,0.009615384615384614,0.375,0.10336538461538461,3.0,2.0,3.0
field:cf_c9b3a708f95249,field,fields/insertions 1,4,0.1923076923076923,0.1923076923076923,0.008708872378876105,0.8515098738141476,0.42291557191265294,0.42291557191265294,0.42291557191265294,0.42291557191265294,cf_c9b3a708f95249,Procedure undertaken / Procedure list / fields/insertions 1,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Procedure undertaken,Procedure list,numeric,DV_COUNT,<;>;between;equals;is_known;is_unknown,0.22115384615384615,0.30434782608695654,0.0673076923076923,0.5,0.1923076923076923,6.0,6.0,4.0
field:cf_bbec72e0a270f7,field,fields/insertions 2,4,0.23557692307692307,0.23557692307692307,0.010668368664123231,0.882883743701749,0.43849789049129123,0.43849789049129123,0.43849789049129123,0.43849789049129123,cf_bbec72e0a270f7,Procedure undertaken / Procedure list / fields/insertions 2,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Procedure undertaken,Procedure list,numeric,DV_COUNT,<;>;between;equals;is_known;is_unknown,0.22115384615384615,0.5,0.11057692307692307,0.5,0.23557692307692307,6.0,6.0,4.0
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_chemotherapy,canonical_subgroup,components / chemotherapy,3,0.0,0.5163461538461538,0.023383322337282346,1.1001889152096544,0.5464258707931399,0.5464258707931399,0.5464258707931399,0.5464258707931399,,,,,,,,,,,,,,,,
field:cf_ccf42da6435cdd,field,duration of treatment,4,0.16538461538461538,0.16538461538461538,0.007489630245833451,0.7729878654252623,0.3839163998457843,0.3839163998457843,0.3839163998457843,0.3839163998457843,cf_ccf42da6435cdd,HCPA / components / chemotherapy / duration of treatment,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,HCPA,components / chemotherapy,numeric,DV_QUANTITY,<;>;between;equals;is_known;is_unknown,0.1346153846153846,0.3,0.04038461538461538,0.5,0.16538461538461538,6.0,6.0,4.0
field:cf_e7f0fa8ccde04c,field,schema,4,0.1923076923076923,0.1923076923076923,0.008708872378876105,0.7925093844664365,0.3936120647391592,0.3936120647391592,0.3936120647391592,0.3936120647391592,cf_e7f0fa8ccde04c,HCPA / components / chemotherapy / schema,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,HCPA,components / chemotherapy,text,DV_TEXT,contains;equals;is_known;is_unknown,0.1346153846153846,0.5,0.0673076923076923,0.5,0.1923076923076923,4.0,3.25,4.0
field:cf_ec7d5ae391fa0a,field,date of beginning of chemotherapy,4,0.15865384615384615,0.15865384615384615,0.0071848197125727875,0.7681074856649687,0.38149248362244054,0.38149248362244054,0.38149248362244054,0.38149248362244054,cf_ec7d5ae391fa0a,HCPA / components / chemotherapy / date of beginning of chemotherapy,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,HCPA,components / chemotherapy,temporal,DV_DATE,after;before;between;equals;is_known;is_unknown,0.1346153846153846,0.25,0.03365384615384615,0.5,0.15865384615384615,6.0,6.0,4.0
