rank,field_id,label,canonical_path,record_family,score,coverage,kind,dv_type,benchmark_relevance,selected_by_aqf_full,selected_by_aqf_topk_no_threshold,selected_by_frequency_only,selected_by_flattened_topk,selected_by_no_operator_awareness,selected_by_no_pruning,selected_by_random_topk_1,selected_by_random_topk_2,selected_by_random_topk_3,selected_by_random_topk_4,selected_by_random_topk_5,selected_by_random_topk_6,selected_by_random_topk_7,selected_by_random_topk_8,selected_by_random_topk_9,selected_by_random_topk_10
45,cf_c9b3a708f95249,fields/insertions 1,Procedure undertaken / Procedure list / fields/insertions 1,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.6246180263713317,0.22115384615384615,numeric,DV_COUNT,procedure,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
46,cf_ed2fd195fdc918,date of beginning of radiotherapy,HCPA / components / radiotherapy / date of beginning of radiotherapy,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.6231500108798786,0.22115384615384615,temporal,DV_DATE,date of beginning of radiotherapy,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False
47,cf_821e1930333a5c,irradiated area 3,Procedure undertaken / Procedure list / irradiated area 3,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.5723829117263612,0.22115384615384615,null,NULL_FLAVOUR,procedure,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True
48,cf_ccf42da6435cdd,duration of treatment,HCPA / components / chemotherapy / duration of treatment,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.3644353628215198,0.1346153846153846,numeric,DV_QUANTITY,duration of treatment,False,False,False,False,False,True,True,True,False,False,True,True,True,False,True,True
49,cf_e7f0fa8ccde04c,schema,HCPA / components / chemotherapy / schema,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.3644353628215198,0.1346153846153846,text,DV_TEXT,schema,False,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True
50,cf_ec7d5ae391fa0a,date of beginning of chemotherapy,HCPA / components / chemotherapy / date of beginning of chemotherapy,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.3644353628215198,0.1346153846153846,temporal,DV_DATE,date of beginning of chemotherapy,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True
51,cf_c89fef6e42073d,indicator of transplantation,HCPA / components / transplantation / indicator of transplantation,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.24957118868653408,0.08653846153846154,boolean,DV_BOOLEAN,indicator of transplantation,False,False,False,False,False,True,True,False,True,True,True,False,True,True,True,True
52,cf_d7a40eea03f1d2,number of transplantations,HCPA / components / transplantation / number of transplantations,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.24957118868653408,0.08653846153846154,numeric,DV_COUNT,number of transplantations,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,True
53,cf_cc107606becdfc,Weight,Body weight / Simple / Weight,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.23046127949849987,0.08653846153846154,numeric,DV_QUANTITY,,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,True
54,cf_1b05aa3c7da77f,Height/Length,Height/Length / Simple / Height/Length,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.23046127949849987,0.08653846153846154,numeric,DV_QUANTITY,,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False
