method,category,query_count,strict_coverage,partial_coverage,failure_count,dominant_failure_reason
random_topk_7,general_clinical,6,0.3333333333333333,0.5555555555555555,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_7,temporal,7,0.14285714285714285,0.3122448979591837,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_7,treatment_procedure,7,0.5714285714285714,0.6285714285714287,3,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_8,demographic,12,0.4166666666666667,0.628968253968254,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_8,diagnosis_oriented,10,0.4,0.65,6,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_8,general_clinical,6,0.3333333333333333,0.611111111111111,4,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_8,temporal,7,0.0,0.2622448979591837,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_8,treatment_procedure,7,0.2857142857142857,0.5306122448979592,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_9,demographic,12,0.4166666666666667,0.5456349206349206,7,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_9,diagnosis_oriented,10,1.0,1.0,0,SUPPORTED
random_topk_9,general_clinical,5,0.8,0.9,1,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_9,temporal,7,0.7142857142857143,0.7857142857142857,2,ABSENT_OR_PRUNED_OR_MATCH_FAILED
random_topk_9,treatment_procedure,8,0.375,0.5392857142857144,5,ABSENT_OR_PRUNED_OR_MATCH_FAILED
