method,field_count,group_count,subgroup_count,max_depth,eta,final_complexity,form_complexity_elements,operator_count,valid_operator_count,invalid_or_unwanted_operator_count,weighted_operator_burden,context_preservation_rate,lineage_preservation_rate,ambiguous_label_count,form_utility,query_count,strict_coverage,partial_coverage,field_efficiency,operator_efficiency,weighted_operator_efficiency,complexity_efficiency,used_field_count,unused_field_count,redundancy_ratio
random_topk_25,29,9,14,6,1.0,35.0,29,155,155,0,142.5,1.0,1.0,2,56.72425653164248,54,0.3518518518518518,0.5547766019988243,0.012132822477650062,0.002270011947431302,0.0024691358024691353,0.010052910052910051,21,8,0.27586206896551724
random_topk_26,29,10,15,6,1.0,35.0,29,154,154,0,142.25,1.0,1.0,1,47.548375290908346,54,0.3703703703703703,0.598045267489712,0.012771392081736907,0.0024050024050024047,0.0026036581396862587,0.01058201058201058,20,9,0.3103448275862069
random_topk_27,29,9,14,6,1.0,35.0,29,157,157,0,145.25,1.0,1.0,2,49.81125188966581,54,0.3333333333333333,0.566196355085244,0.011494252873563218,0.0021231422505307855,0.002294893861158921,0.009523809523809523,20,9,0.3103448275862069
random_topk_28,29,10,15,6,1.0,35.0,29,151,151,0,139.0,1.0,1.0,0,44.934716372536386,54,0.3888888888888889,0.5835831863609641,0.013409961685823755,0.0025754231052244297,0.002797761790567546,0.011111111111111112,21,8,0.27586206896551724
random_topk_29,29,9,13,6,1.0,35.0,29,156,156,0,143.5,1.0,1.0,4,55.28189548910161,54,0.3888888888888889,0.6094209288653732,0.013409961685823755,0.002492877492877493,0.0027100271002710027,0.011111111111111112,21,8,0.27586206896551724
random_topk_3,29,9,15,6,1.0,35.0,29,142,142,0,126.75,1.0,1.0,0,46.97834743946451,54,0.3888888888888889,0.5933715461493239,0.013409961685823755,0.0027386541471048514,0.0030681569143107606,0.011111111111111112,22,7,0.2413793103448276
random_topk_30,29,10,17,6,1.0,35.0,29,155,155,0,144.0,1.0,1.0,0,46.9788626757205,54,0.5,0.7094650205761317,0.017241379310344827,0.0032258064516129032,0.003472222222222222,0.014285714285714285,24,5,0.1724137931034483
random_topk_4,29,9,15,6,1.0,35.0,29,150,150,0,136.25,1.0,1.0,1,50.09993780760679,54,0.3148148148148148,0.5486037624926513,0.010855683269476373,0.0020987654320987655,0.002310567448182127,0.008994708994708995,22,7,0.2413793103448276
random_topk_5,29,10,15,6,1.0,35.0,29,151,151,0,139.75,1.0,1.0,2,43.31296394033839,54,0.3703703703703703,0.5229129923574368,0.012771392081736907,0.002452783909737552,0.0026502352083747427,0.01058201058201058,24,5,0.1724137931034483
random_topk_6,29,10,16,6,1.0,35.0,29,162,162,0,151.0,1.0,1.0,3,53.31751749896216,54,0.4259259259259259,0.5990299823633157,0.014687100893997444,0.002629172382258802,0.0028207014961981846,0.012169312169312168,24,5,0.1724137931034483
random_topk_7,29,7,14,6,1.0,35.0,29,152,152,0,140.5,1.0,1.0,1,47.01919413729444,54,0.2962962962962963,0.559729570840682,0.010217113665389526,0.001949317738791423,0.0021088704362725716,0.008465608465608464,23,6,0.20689655172413793
random_topk_8,29,9,14,6,1.0,35.0,29,152,152,0,139.0,1.0,1.0,4,51.78279861211607,54,0.3148148148148148,0.5466637272192828,0.010855683269476373,0.002071150097465887,0.0022648547828403942,0.008994708994708995,22,7,0.2413793103448276
random_topk_9,29,9,13,6,1.0,35.0,29,149,149,0,135.5,1.0,1.0,2,50.60499051832481,54,0.4814814814814814,0.6615373309817755,0.01660280970625798,0.0032314193388018886,0.003553368867022003,0.013756613756613753,21,8,0.27586206896551724
