field_id,label,canonical_path,record_family,coverage,diversity,local_utility,neighborhood_reinforcement,final_queriability,neighbor_count,kind,dv_type,rank
cf_c9b3a708f95249,fields/insertions 1,Procedure undertaken / Procedure list / fields/insertions 1,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.22115384615384615,0.30434782608695654,0.0673076923076923,2.2292413362545576,1.181928360434971,50,numeric,DV_COUNT,45
cf_ed2fd195fdc918,date of beginning of radiotherapy,HCPA / components / radiotherapy / date of beginning of radiotherapy,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.22115384615384615,0.43478260869565216,0.09615384615384615,2.10798465890413,1.150146175605911,50,temporal,DV_DATE,46
cf_821e1930333a5c,irradiated area 3,Procedure undertaken / Procedure list / irradiated area 3,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.22115384615384615,0.043478260869565216,0.009615384615384614,2.2510701084439066,1.135150438837338,50,null,NULL_FLAVOUR,47
cf_ccf42da6435cdd,duration of treatment,HCPA / components / chemotherapy / duration of treatment,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.1346153846153846,0.14285714285714285,0.01923076923076923,1.3808183743630023,0.7096399564122704,50,numeric,DV_QUANTITY,48
cf_e7f0fa8ccde04c,schema,HCPA / components / chemotherapy / schema,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.1346153846153846,0.14285714285714285,0.01923076923076923,1.3808183743630023,0.7096399564122704,50,text,DV_TEXT,49
cf_ec7d5ae391fa0a,date of beginning of chemotherapy,HCPA / components / chemotherapy / date of beginning of chemotherapy,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.1346153846153846,0.14285714285714285,0.01923076923076923,1.3808183743630023,0.7096399564122704,50,temporal,DV_DATE,50
cf_c89fef6e42073d,indicator of transplantation,HCPA / components / transplantation / indicator of transplantation,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.08653846153846154,0.1111111111111111,0.009615384615384614,0.9598232162845979,0.4895269927576836,50,boolean,DV_BOOLEAN,51
cf_d7a40eea03f1d2,number of transplantations,HCPA / components / transplantation / number of transplantations,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.08653846153846154,0.1111111111111111,0.009615384615384614,0.9598232162845979,0.4895269927576836,50,numeric,DV_COUNT,52
cf_cc107606becdfc,Weight,Body weight / Simple / Weight,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.08653846153846154,0.2222222222222222,0.01923076923076923,0.8449220410709226,0.4416917897662305,50,numeric,DV_QUANTITY,53
cf_1b05aa3c7da77f,Height/Length,Height/Length / Simple / Height/Length,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.08653846153846154,0.2222222222222222,0.01923076923076923,0.8449220410709226,0.4416917897662305,50,numeric,DV_QUANTITY,54
